nombre;correo;tlf;direccion;
cesar;cesar262@hotmail.com;927175230;262;hotmail.com
daniel;daniel61@gmail.com;817777834;61;gmail.com
jose;jose153@net.net;811714121;153;net.net
perez;perez246@yahoo.es;923119164;246;yahoo.es
juli;juli130@hotmail.com;679230479;130;hotmail.com
penelope;penelope142@gmail.com;965667216;142;gmail.com
asereje;asereje267@net.net;776716052;267;net.net
judio;judio69@yahoo.es;928655130;69;yahoo.es
jime;jime438@hotmail.com;733911239;438;hotmail.com
pololo;pololo64@gmail.com;737719289;64;gmail.com
qwerty;qwerty313@net.net;951333210;313;net.net
